country,score,product
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,6,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
us,9.2,Samsung Galaxy S8 64GB (AT&T)
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,6,Samsung Galaxy S8
us,6,Samsung Galaxy S8
us,8,Samsung Galaxy S8
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
us,10,Samsung Galaxy S8
us,6,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,"Samsung Galaxy S8 (64GB, Midnight Black)"
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
gb,10,"Samsung Galaxy S8, 64Gb - Black"
us,2,Samsung Galaxy S8
us,6,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,2,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,2,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,6,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Black"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,4,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,9.6,Samsung Galaxy S8 64GB (AT&T)
us,7.2,Samsung Galaxy S8 64GB (AT&T)
us,2,Samsung Galaxy S8 64GB (AT&T)
gb,10,"Samsung Galaxy S8, 64Gb - Orchid Grey"
us,10,Samsung Galaxy S8
us,2,Samsung Galaxy S8
us,8,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8
us,2,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
us,2,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
us,10,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
us,4,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
us,10,Samsung Galaxy S8
us,10,Samsung Galaxy S8 64GB (AT&T)
us,10,Samsung Galaxy S8 64GB (AT&T)
us,8,Samsung Galaxy S8 64GB (AT&T)
